sample,seed,y_fake,y_fake_f,y_real,y_real_f,loss_g,loss_g_f,loss_d,loss_d_f,ink,fooled
0,0,0,0.0,3927,0.958740234375,34065,8.316650390625,173,0.042236328125,18052,0
1,1,1220,0.2978515625,3927,0.958740234375,4962,1.21142578125,1623,0.396240234375,28246,0
2,2,1001,0.244384765625,3927,0.958740234375,5772,1.4091796875,1323,0.322998046875,14147,0
3,3,0,0.0,3927,0.958740234375,34065,8.316650390625,173,0.042236328125,24554,0
4,4,3958,0.96630859375,3928,0.958984375,141,0.034423828125,14062,3.43310546875,45113,1
5,5,0,0.0,3928,0.958984375,34065,8.316650390625,173,0.042236328125,15092,0
6,6,4096,1.0,3926,0.95849609375,0,0.0,34240,8.359375,24744,1
7,7,3442,0.84033203125,3929,0.959228515625,713,0.174072265625,7688,1.876953125,25151,1
8,8,2684,0.6552734375,3927,0.958740234375,1732,0.4228515625,4537,1.107666015625,29490,1
9,9,1473,0.359619140625,3928,0.958984375,4188,1.0224609375,2001,0.488525390625,28723,0
